Sr.No,State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,TotalCrimes,K&A_Ratio,DD_Ratio,AoW_Ratio,AoM_Ratio,DV_Ratio,WT_Ratio,Rape_Ratio
0,ANDHRA PRADESH,2001,871,765,420,3544,2271,5791,7,13669,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,ARUNACHAL PRADESH,2001,33,55,0,78,3,11,0,180,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,ASSAM,2001,817,1070,59,850,4,1248,0,4048,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3,BIHAR,2001,888,518,859,562,21,1558,83,4489,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,CHHATTISGARH,2001,959,171,70,1763,161,840,0,3964,1.0,1.0,1.0,1.0,1.0,0.0,1.0
5,GOA,2001,12,6,2,17,7,11,0,55,1.0,1.0,1.0,1.0,1.0,0.0,1.0
6,GUJARAT,2001,286,857,67,756,111,3667,0,5744,1.0,1.0,1.0,1.0,1.0,0.0,1.0
7,HARYANA,2001,398,297,285,478,401,1513,0,3372,1.0,1.0,1.0,1.0,1.0,0.0,1.0
8,HIMACHAL PRADESH,2001,124,105,10,310,14,317,0,880,1.0,1.0,1.0,1.0,1.0,0.0,1.0
9,JAMMU & KASHMIR,2001,169,504,13,622,288,50,0,1646,1.0,1.0,1.0,1.0,1.0,0.0,1.0
10,JHARKHAND,2001,567,279,217,297,5,484,2,1851,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,KARNATAKA,2001,293,271,220,1665,81,1755,0,4285,1.0,1.0,1.0,1.0,1.0,0.0,1.0
12,KERALA,2001,562,97,27,1942,81,2561,0,5270,1.0,1.0,1.0,1.0,1.0,0.0,1.0
13,MADHYA PRADESH,2001,2851,668,609,7063,751,2562,0,14504,1.0,1.0,1.0,1.0,1.0,0.0,1.0
14,MAHARASHTRA,2001,1302,611,308,2823,1120,6090,1,12255,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,MANIPUR,2001,20,62,0,21,0,5,0,108,1.0,0.0,1.0,0.0,1.0,0.0,1.0
16,MEGHALAYA,2001,26,11,0,25,0,4,0,66,1.0,0.0,1.0,0.0,1.0,0.0,1.0
17,MIZORAM,2001,52,1,0,52,0,16,3,124,1.0,0.0,1.0,0.0,1.0,1.0,1.0
18,NAGALAND,2001,17,6,0,6,0,0,0,29,1.0,0.0,1.0,0.0,0.0,0.0,1.0
19,ODISHA,2001,790,434,294,1655,458,1266,0,4897,1.0,1.0,1.0,1.0,1.0,0.0,1.0
20,PUNJAB,2001,298,324,159,372,47,1128,0,2328,1.0,1.0,1.0,1.0,1.0,0.0,1.0
21,RAJASTHAN,2001,1049,2165,376,2878,56,5532,1,12057,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,SIKKIM,2001,8,2,0,0,14,0,0,24,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,TAMIL NADU,2001,423,607,191,1773,1012,815,14,4835,1.0,1.0,1.0,1.0,1.0,1.0,1.0
